,Name (caveats to the data),RTG $,Oil/Water Used,Type of Fish,Latin Name,Country Origin,Brand,Has Salt,Has Sugar,Sauce/Inclusions,Boneless,Skinless,Pieces/Tin,Tin Size (in grams unless otherwise noted),Tin Size (in oz unless otherwise noted),Smoked,Grilled/Seared,Citrus,Garlic,Chili Pepper,Tomato,Dairy,Gluten,Organic,Kosher Cert,Servings/tin,Sodium/Serv (mg),% RDA Sodium,Unnamed: 28
116,Conservas de Cambados Fried Mussels in Escabeche 4/6,23,Olive Oil,Mussels,Mytillus galloprovincialis,Spain,Conservas de Cambados,Yes,No,Escabeche,,,4/6,111,4.0,No,No,No,No,No,No,No,No,No,,1,620,27,
117,Conservas de Cambados Fried Mussels in Escabeche 6/8 (King Size),19,Olive Oil,Mussels,Mytillus galloprovincialis,Spain,Conservas de Cambados,Yes,No,Escabeche,,,6/8,111,4.0,No,No,No,No,No,No,No,No,No,,1,620,27,
118,Conservas de Cambados Fried Mussels in Escabeche 8/12,14.5,Olive Oil,Mussels,Mytillus galloprovincialis,Spain,Conservas de Cambados,Yes,No,Escabeche,,,8/12,111,4.0,No,No,No,No,No,No,No,No,No,,1,620,27,
119,Conservas de Cambados Garfish (Agujas) in Olive Oil,6.5,Olive Oil,Garfish,Scomberesox saurus and Belone belone,Spain,Conservas de Cambados,Yes,No,,No,No,4/6,115,4.0,No,No,No,No,No,No,No,No,No,,1,460,20,
120,Conservas de Cambados Large Fried Mussels in Escabeche 16/20 (Large Format Tin),30,Olive Oil,Mussels,Mytillus galloprovincialis,Spain,Conservas de Cambados,Yes,No,Escabeche,,,16/20,266,9.0,No,No,No,No,No,No,No,No,No,,3,476,21,
121,Conservas de Cambados Mackerel Fillet in Olive Oil,10,Olive Oil,Mackerel,Scomber scombrus and Scomber colias ,Spain,Conservas de Cambados,Yes,No,,Yes,Yes,Unstated,115,4.0,No,No,No,No,No,No,No,No,No,,1,260,11,
122,Conservas de Cambados Octopus in Galician Sauce,12,Sunflower Oil,Octopus,Octopus vulgaris,Spain,Conservas de Cambados,Yes,No,Galician,,,Unstated,111,4.0,No,No,No,No,No,No,No,No,No,,1,200,9,
123,Conservas de Cambados Octopus in Olive Oil,13,Olive Oil,Octopus,Octopus vulgaris,Spain,Conservas de Cambados,Yes,No,,,,Unstated,111,4.0,No,No,No,No,No,No,No,No,No,,1,360,15,
124,Conservas de Cambados Razorshells (Razor Clams) in Brine,19,Water,"Clam, Razor",Ensis siliqua,Spain,Conservas de Cambados,Yes,No,,,,4/6,111,4.0,No,No,No,No,No,No,No,No,No,,1,800,35,
125,Conservas de Cambados Sea Urchin Roes in Brine,30,Water,Urchin Roe,Paracentrotus lividus,Spain,Conservas de Cambados,Yes,No,,,,,80,3.0,No,No,No,No,No,No,No,No,No,,1,420,18,
126,Conservas de Cambados Small Sardines in Olive Oil 16/22,10.5,Olive Oil,Sardines,Sardina pilchardus,Spain,Conservas de Cambados,Yes,No,,No,No,16/22,115,4.0,No,No,No,No,No,No,No,No,No,,1,740,32,
127,Conservas de Cambados Small Sardines in Olive Oil 20/25,12,Olive Oil,Sardines,Sardina pilchardus,Spain,Conservas de Cambados,Yes,No,,No,No,20/25,115,4.0,No,No,No,No,No,No,No,No,No,,1,740,32,
128,Conservas de Cambados Small Scallops in Galician Sauce,10,Sunflower Oil,Scallop,Aequipecten opercularis,Spain,Conservas de Cambados,Yes,No,Galician,,,Unstated,111,4.0,No,No,No,No,No,Yes,No,No,No,,1,310,14,
129,"Conservas de Cambados Squid Ink (Tina de Calamar), 4-pack of 4g packets",6,Water,Cuttlefish Ink,?,Spain,Conservas de Cambados,Yes,No,Cuttlefish Ink,,,,4,0.14,No,No,No,No,No,No,No,No,No,,4,310,14,
130,Conservas de Cambados Stuffed Squids in Ink 6/8,17,Sunflower Oil,Squid,Loligo gahi,Spain,Conservas de Cambados,Yes,No,Ink,,,6/8,111,4.0,No,No,No,No,No,Yes,No,No,No,,1,390,17,
131,Conservas de Cambados Stuffed Squids in Olive Oil 6/8,21,Olive Oil,Squid,Loligo gahi,Spain,Conservas de Cambados,Yes,No,,,,6/8,111,4.0,No,No,No,No,No,No,No,No,No,,1,220,10,
132,Conservas de Cambados Very Small Sardines in Olive Oil 25/30,15,Olive Oil,Sardines,Sardina pilchardus,Spain,Conservas de Cambados,Yes,No,,No,No,25/30,115,4.0,No,No,No,No,No,No,No,No,No,,1,740,32,
133,Conservas de Cambados White Tuna Belly (Ventresca) Fillets in Olive Oil,21.5,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Conservas de Cambados,Yes,No,,,,,111,4.0,No,No,No,No,No,No,No,No,No,,1,270,12,
134,Conservas de Cambados White Tuna in Olive Oil,13.25,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Conservas de Cambados,Yes,No,,,,,111,4.0,No,No,No,No,No,No,No,No,No,,1,270,11,
135,Don Bocarte Anchovy Fillets in Extra Virgin Olive Oil 6/7,18.5,Extra Virgin Olive Oil,Anchovy,Engraulis encrasicolus,Spain,Don Bocarte,Yes,No,,Yes,Yes,6/7,48,1.69,No,No,No,No,No,No,No,No,No,,2,480,20,
136,Don Bocarte Sliced Bonita Del Norte (Lomo Laminado),16.5,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Don Bocarte,Yes,No,,,,,120,4.23,No,No,No,No,No,No,No,No,No,,2,230,10,
137,Don Bocarte Ventresca Bonito Del Norte,73,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Don Bocarte,Yes,No,,,,,190,6.7,No,No,No,No,No,No,No,No,No,,3,220,9,
138,Don Bocarte Wild Bluefin (Atun Rojo) Belly (Ventresca) in Olive Oil,44.5,Olive Oil,"Tuna, Bluefin",Thunnus thynnus,Spain,Don Bocarte,Yes,No,,Yes,Yes,,120,4.23,No,No,No,No,No,No,No,No,No,,2,230,10,
139,Don Gastronom (La Narval) Mussels in Spicy Garlic Sauce,8,Olive Oil,Mussels,Mytilus galloprovincialis,Spain,Don Gastronom,Yes,No,"Galric, Chili",,,Unstated,110,3.8,No,No,No,Yes,Yes,No,No,No,No,,1,311,15,
140,Don Gastronom (La Narval) Octopus with Garlic in Sunflower Oil,12,Sunflower Oil,Octopus,Eledone cirrhosa,Spain,Don Gastronom,Yes,No,Garlic,,,,110,3.8,No,No,No,Yes,No,No,No,No,No,,1,330,15,
141,Don Gastronom (La Narval) Scallops in Vieira Sauce,9.5,Sunflower Oil,Small Scallops,,Spain,Don Gastronom,Yes,No,"tomato, onion, spices, and salt.",,,Unstated,110,3.8,No,No,No,No,N,Yes,No,No,No,,1,520,25,
142,Don Gastronom (La Narval) Yellowfin Tuna with Honey and Mustard,8,Sunflower Oil,"Tuna, Yellowfin",Thunnus albacares,Spain,Don Gastronom,Yes,Yes,"mustard, honey",,,,110,3.8,No,No,No,No,No,No,No,No,No,,1,570,25,
143,Don Gastronom (La Narval) Yellowfin Tuna with Lemon,8,Sunflower Oil,"Tuna, Yellowfin",Thunnus albacares,Spain,Don Gastronom,Yes,No,lemon,,,,110,3.8,No,No,Yes,No,No,No,No,No,No,,1,460,20,
144,Don Gastronom (La Narval) Yellowfin Tuna with Orange and Clove,8,Sunflower Oil,"Tuna, Yellowfin",Thunnus albacares,Spain,Don Gastronom,Yes,No,"orange, clove",,,,110,3.8,No,No,Yes,No,No,No,No,No,No,,1,390,15,
145,Don Gastronom (La Narval) Yellowfin Tuna with Tomato and Basil,8,Sunflower Oil,"Tuna, Yellowfin",Thunnus albacares,Spain,Don Gastronom,Yes,No,"tomato, basil",,,,110,3.8,No,No,No,No,N,Yes,No,No,No,,1,210,10,
146,Don Gastronom Cockles in Brine 55/65,15,Water,Cockles,Cerastoderma edule,Spain,Don Gastronom,Yes,No,,,,55/65,110,3.8,No,No,No,No,No,No,No,No,No,,1,370,15,
147,Don Gastronom Fried Small Mussels in Escabeche 12/16,8,Sunflower Oil,Mussels,Mytilus galloprovincialis,Spain,Don Gastronom,Yes,No,Escabeche,,,12/16,110,3.8,No,No,No,No,No,No,No,No,No,,1,420,20,
148,Don Gastronom Galician Clams in Brine,27,Water,"Clam, White",Venerupis corrugate,Spain,Don Gastronom,Yes,No,,,,25/30,110,3.8,No,No,No,No,No,No,No,No,No,,1,350,15,
149,Don Gastronom Mackerel Fillets in Olive Oil 4/6,6,Olive Oil,Mackerel,Scomber australascos,Spain,Don Gastronom,Yes,No,,Yes,Yes,4/6,110,3.8,No,No,No,No,No,No,No,No,No,,1,150,6,
150,Don Gastronom Mackerel Fillets in Tomato Sauce 4/6,6,Sunflower Oil,Mackerel,Scomber australascos,Spain,Don Gastronom,Yes,No,Tomato,Yes,Yes,4/6,120,3.8,No,No,No,No,No,Yes,No,No,No,,1,200,8,
151,Don Gastronom Octopus in Spiced Sunflower Oil,12,Sunflower Oil,Octopus,Eledone cirrhosa,Spain,Don Gastronom,Yes,No,Spiced/Spicy,,,Unstated,110,3.8,No,No,No,No,No,No,No,No,No,,1,330,15,
152,Don Gastronom Razor Clams in Brine 6/8,14,Water,"Clam, Razor",Ensis siliqua,Spain,Don Gastronom,Yes,No,,,,6/8,110,3.8,No,No,No,No,No,No,No,No,No,,1,370,15,
153,Don Gastronom Small Sardines in Olive Oil 10/12,8,Olive Oil,Sardines,Sardina pilchardus,Spain,Don Gastronom,Yes,No,,No,No,10/12,120,4.23,No,No,No,No,No,No,No,No,No,,1,490,20,
154,Don Gastronom Squid Pieces in Ink Sauce,5.5,Sunflower Oil,Squid,Dosidicus gigas spp.,Spain,Don Gastronom,Yes,No,Ink,,,Unstated,110,3.8,No,No,No,No,No,No,No,No,No,,1,300,15,
155,Don Gastronom Whole Stuffed Squids in Ink Sauce 4/6,13.5,Sunflower Oil,Squid,Loligo gahi,Spain,Don Gastronom,Yes,No,Ink,,,4/6,110,3.8,No,No,No,No,No,No,No,No,No,,1,300,15,
156,Don Gastronom Yellowfin Tuna Loin in Olive Oil,10.75,Olive Oil,"Tuna, Yellowfin",Thunnus albacares,Spain,Don Gastronom,Yes,No,,,,,110,3.8,No,No,No,No,No,No,No,No,No,,1,224,8,
157,Don Gastronom Yellowfin Tuna Ventresca in Olive Oil,14.5,Olive Oil,"Tuna, Yellowfin",Thunnus albacares,Spain,Don Gastronom,Yes,No,,,,,110,3.8,No,No,No,No,No,No,No,No,No,,1,224,8,
158,Eagle Coin Fried Dace,6.5,Soybean Oil,Dace,?,China,Eagle Coin,Yes,Yes,Soy Sauce,,,,180,6.3,No,No,No,No,No,No,No,Yes,No,,3,360,16,
159,Eagle Coin Fried Dace with Dried Bean Curd,6.5,Soybean Oil,Dace,?,China,Eagle Coin,Yes,Yes,Bean curd,,,,180,6.3,No,No,No,No,No,No,No,Yes,No,,4,200,9,
160,Eagle Coin Fried Dace with Preserved Vegetables,6.5,Soybean Oil,Dace,?,China,Eagle Coin,Yes,Yes,Vegetables,,,,180,6.3,No,No,No,No,No,No,No,Yes,No,,3,330,,
161,Eagle Coin Fried Dace with Salted Black Bean,6.5,Soybean Oil,Dace,?,China,Eagle Coin,Yes,Yes,Black Beans,,,,180,6.3,No,No,No,No,No,No,No,Yes,No,,3,530,23,
162,Eco Food Armenia Sturgeon in Water,12,Water,Sturgeon,?,Armenia,Eco Food Armenia,Yes,No,,No,No,Unstated,240,8.47,No,No,No,No,No,No,No,No,No,,?,?,?,
163,"Eco Food Armenia Sturgeon Liver, Natural (in water)",12,Water,Sturgeon,?,Armenia,Eco Food Armenia,Yes,No,,,,Unstated,240,8.47,No,No,No,No,No,No,No,No,No,,?,?,?,
164,Ekone Oyster Company Habanero Smoked Oysters,13,Sunflower Oil,Oyster,Crassostrea gigas,USA,Ekone,Yes,Yes,,,,Unstated,85,3.0,Yes,No,No,Yes,Yes,Yes,No,No,Yes,,?,?,?,
165,Ekone Oyster Company Lemon Pepper Smoked Oysters,13,Sunflower Oil,Oyster,Crassostrea gigas,USA,Ekone,Yes,Yes,,,,Unstated,85,3.0,Yes,No,Yes,Yes,No,No,No,No,Yes,,?,?,?,
166,Ekone Oyster Company Original Smoked Oysters,13,Sunflower Oil,Oyster,Crassostrea gigas,USA,Ekone,Yes,Yes,,,,Unstated,85,3.0,Yes,No,No,Yes,No,No,No,No,Yes,,?,?,?,
167,El Capricho Anchovy Fillets in Extra Virgin Olive Oil,35,Extra Virgin Olive Oil,Anchovy,Engraulis encrasicolus,Spain,El Capricho,Yes,No,,Yes,Yes,Unstated,95,,No,No,No,No,No,No,No,No,No,,3,438,19,
168,"El Capricho Anchovy Fillets in Extra Virgin Olive Oil, L+ (10 Fillets)",32,Extra Virgin Olive Oil,Anchovy,Engraulis encrasicolus,Spain,El Capricho,Yes,No,,Yes,Yes,Unstated,95,,No,No,No,No,No,No,No,No,No,,2,438,19,
169,El Capricho Anchovy Fillets in Olive Oil,21,Olive Oil,Anchovy,Engraulis encrasicolus,Spain,El Capricho,Yes,No,,Yes,Yes,Unstated,50,1.76,No,No,No,No,No,No,No,No,No,,2,438,19,
170,El Capricho Anchovy Fillets in Sunflower Oil,21,Sunflower Oil,Anchovy,Engraulis encrasicolus,Spain,El Capricho,Yes,No,,Yes,Yes,Unstated,50,1.76,No,No,No,No,No,No,No,No,No,,2,438,19,
171,"El Capricho Anchovy Fillets, L, EVOO, 115g – (+/-20 fillets)",45,Extra Virgin Olive Oil,Anchovy,Engraulis encrasicolus,Spain,El Capricho,Yes,No,,Yes,Yes,20,115,4.0,No,No,No,No,No,No,No,No,No,,,,,
172,"El Capricho Anchovy Fillets, L, EVOO, 95g – (+/-18 fillets)",37,Extra Virgin Olive Oil,Anchovy,Engraulis encrasicolus,Spain,El Capricho,Yes,No,,Yes,Yes,18,95,,No,No,No,No,No,No,No,No,No,,,,,
173,"El Capricho Anchovy Fillets, L, Sunflower Oil, 115g – (+/-20 fillets)",45,Sunflower Oil,Anchovy,Engraulis encrasicolus,Spain,El Capricho,Yes,No,,Yes,Yes,20,115,4.0,No,No,No,No,No,No,No,No,No,,,,,
174,"El Capricho Anchovy Fillets, L, Sunflower Oil, 95g – (+/-18 fillets)",37,Sunflower Oil,Anchovy,Engraulis encrasicolus,Spain,El Capricho,Yes,No,,Yes,Yes,18,95,,No,No,No,No,No,No,No,No,No,,,,,
175,"El Capricho Anchovy Fillets, M, EVOO, 95g – (+/-24 fillets)",35,Extra Virgin Olive Oil,Anchovy,Engraulis encrasicolus,Spain,El Capricho,Yes,No,,Yes,Yes,24,95,,No,No,No,No,No,No,No,No,No,,3,438,19,
176,"El Capricho Anchovy Fillets, M, Olive Oil, 50g – (+/- 10 Fillets)",21,Olive Oil,Anchovy,Engraulis encrasicolus,Spain,El Capricho,Yes,No,,Yes,Yes,10,50,,No,No,No,No,No,No,No,No,No,,,,,
177,"El Capricho Anchovy Fillets, M, Sunflower Oil, 50g – (+/- 10 Fillets)",21,Sunflower Oil,Anchovy,Engraulis encrasicolus,Spain,El Capricho,Yes,No,,Yes,Yes,10,50,,No,No,No,No,No,No,No,No,No,,,,,
178,"El Capricho Anchovy Fillets, M, Sunflower Oil, 95g – (+/-24 fillets)",34,Sunflower Oil,Anchovy,Engraulis encrasicolus,Spain,El Capricho,Yes,No,,Yes,Yes,24,95,,No,No,No,No,No,No,No,No,No,,,,,
179,"El Capricho Anchovy Fillets, XL, EVOO, 115g – (14-16 fillets)",51,Extra Virgin Olive Oil,Anchovy,Engraulis encrasicolus,Spain,El Capricho,Yes,No,,Yes,Yes,14/16,115,4.0,No,No,No,No,No,No,No,No,No,,,,,
180,"El Capricho Anchovy Fillets, XL, Sunflower Oil, 115g – (14-16 fillets)",51,Sunflower Oil,Anchovy,Engraulis encrasicolus,Spain,El Capricho,Yes,No,,Yes,Yes,14/16,115,4.0,No,No,No,No,No,No,No,No,No,,,,,
181,"El Capricho Anchovy Fillets, XXL, EVOO, 115g – (10-12 fillets)",55,Extra Virgin Olive Oil,Anchovy,Engraulis encrasicolus,Spain,El Capricho,Yes,No,,Yes,Yes,10/12,115,4.0,No,No,No,No,No,No,No,No,No,,,,,
182,"El Capricho Anchovy Fillets, XXL, Sunflower Oil, 115g – (10-12 fillets)",55,Sunflower Oil,Anchovy,Engraulis encrasicolus,Spain,El Capricho,Yes,No,,Yes,Yes,10/12,115,4.0,No,No,No,No,No,No,No,No,No,,,,,
183,El Capricho Atun Rojo Salvaje (Bluefin Tuna) in Extra Virgin Olive Oil,26,Extra Virgin Olive Oil,"Tuna, Bluefin",Thunnus thynnus,Spain,El Capricho,Yes,No,,Yes,Yes,,110,3.88,No,No,No,No,No,No,No,No,No,,2,79,3,
184,El Capricho Bonito del Norte Fillets in EVOO,26,Extra Virgin Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,El Capricho,Yes,No,,,,,210,7.41,No,No,No,No,No,No,No,No,No,,3,121,5,
185,El Capricho Laminas Bonito del Norte (Albacore slices),21.5,Sunflower Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,El Capricho,Yes,No,,,,,110,3.88,No,No,No,No,No,No,No,No,No,,2,121,5,
186,El Capricho Mussels in Escabeche,26,Olive Oil,Mussels,Mytilus galloprovincialis,Spain,El Capricho,Yes,No,Escabeche,,,Unstated,115,4.0,No,No,No,No,No,No,No,No,No,,,,,
187,El Capricho SalMŭria,35,Anchovy Extract,Anchovy,Engraulis encrasicolus,Spain,El Capricho,Yes,No,Anchovy Extract,,,,99.2,,No,No,No,No,No,No,No,No,No,,,,,
188,El Capricho Sturgeon in EVOO,28.5,Extra Virgin Olive Oil,Sturgeon,Acipenser baerii,Spain,El Capricho,Yes,No,,Yes,Yes,,110,3.88,No,No,No,No,No,No,No,No,No,,2,209,9,
189,El Capricho Ventresca de Atun Yellowfin in Extra Virgin Olive Oil,26,Extra Virgin Olive Oil,"Tuna, Yellowfin",Thunnus albacares,Spain,El Capricho,Yes,No,,,,,115,4.0,No,No,No,No,No,No,No,No,No,,2,143,6,
190,El Capricho Ventresca de Bonito del Norte,35,Sunflower Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,El Capricho,Yes,No,,,,,110,3.88,No,No,No,No,No,No,No,No,No,,2,143,6,
191,Espinaler Baby Sardines in Olive Oil 14/16,9.5,Olive Oil,Sardines,Sardina pilchardus,Spain,Espinaler,Yes,No,,No,No,14/16,115,4.0,No,No,No,No,No,No,No,No,No,,1,434,18,
192,"Espinaler Baby Sardines in Olive Oil 20/25, Premium Line",11.5,Olive Oil,Sardines,Sardina pilchardus,Spain,Espinaler,Yes,No,,No,No,20/25,115,4.0,No,No,No,No,No,No,No,No,No,,1,434,18,
193,Espinaler Baby Sardines in Spicy Olive Oil 10/12,8,Olive Oil,Sardines,Sardina pilchardus,Spain,Espinaler,Yes,No,Spiced/Spicy,No,No,10/12,115,4.0,No,No,No,No,Yes,No,No,No,No,,1,434,18,
194,Espinaler Baby Squid in Olive Oil,15.5,Olive Oil,Squid,?,Spain,Espinaler,Yes,No,,,,Unstated,120,4.0,No,No,No,No,No,No,No,No,No,,3,430,18,
195,Espinaler Baby Squid in Spicy Olive Oil,15.5,Olive Oil,Squid,?,Spain,Espinaler,Yes,No,Spiced/Spicy,,,Unstated,110,4.0,No,No,No,Yes,Yes,No,No,No,No,,1,311,13,
196,"Espinaler Baby Squids in Olive Oil 6/8, Premium Line (chipirones en aceite de oliva)",22,Olive Oil,Squid,?,Spain,Espinaler,Yes,No,,,,6/8,115,4.0,No,No,No,No,No,No,No,No,No,,1,294,12,
197,"Espinaler Bonito del Norte (White Tuna) in Olive Oil, Classic Line",12.5,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Espinaler,Yes,No,,,,,120,4.0,No,No,No,No,No,No,No,No,No,,2,220,9,
198,Espinaler Bonito del Norte in Escabeche,12,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Espinaler,Yes,No,Escabeche,,,,112,4.0,No,No,No,No,No,No,No,No,No,,2,160,7,
199,Espinaler Clams in Brine 15/20,12,Water,"Clam, White","Venerupis rhomboides, Venerupis pullastra, Ruditapes decussatusx",Spain,Espinaler,Yes,No,,,,15/20,115,4.0,No,No,No,No,No,No,No,No,No,,2,550,23,
200,"Espinaler Cockles in Brine, Premium Line, 30/35",38.5,Water,Cockles,Cerastoderma edule,Spain,Espinaler,Yes,No,,,,30/35,115,4.0,No,No,No,No,No,No,No,No,No,,2,400,19,
201,Espinaler Mussels in Escabeche (Mejillones in Escabeche) 8/10,12,Sunflower Oil,Mussels,Mytilus galloprovincialis,Spain,Espinaler,Yes,No,Escabeche,,,8/10,115,4.0,No,No,No,No,No,No,No,No,No,,3,250,10,
202,"Espinaler Mussels in Escabeche, Premium Line, 6/8",24,Sunflower Oil,Mussels,Mytilus galloprovincialis,Spain,Espinaler,Yes,No,Escabeche,,,6/8,115,4.0,No,No,No,No,No,No,No,No,No,,1,550,23,
203,Espinaler Mussels in Pickled Sauce (Mejillones in Escabeche),7.5,Sunflower Oil,Mussels,"Mytilus galloprovincialis, Mytilus edulis",Spain,Espinaler,Yes,No,Escabeche,,,13/18,115,4.0,No,No,No,No,No,No,No,No,No,,2,190,8,
204,Espinaler Mussels in Spicy Escabeche (Mejillones en Escabeche Picante),7.5,Sunflower Oil,Mussels,Mytilus galloprovincialis,Spain,Espinaler,Yes,No,Spiced/Spicy Escabeche,,,Unstated,115,4.0,No,No,No,No,Yes,No,No,No,No,,1,250,10,
205,Espinaler Octopus in Olive Oil,28,Olive Oil,Octopus,Octopus vulgaris,Spain,Espinaler,Yes,No,,,,Unstated,111,4.0,No,No,No,No,No,No,No,No,No,,1,332,13.8,
206,Espinaler Razor Clams (Trimmed) 4/6 Classic Line,13,Water,"Clam, Razor",?,Spain,Espinaler,Yes,No,,,,4/6,110,4.0,No,No,No,No,No,No,No,No,No,,1,726,32,
207,"Espinaler Razor Clams 5/7 Premium Line, Sálvora Island",40,Water,"Clam, Razor",?,Spain,Espinaler,Yes,No,,,,5/7,120,4.0,No,No,No,No,No,No,No,No,No,,1,320,15,
208,Espinaler Razor Clams in Brine 5/8 Classic Line,20.5,Water,"Clam, Razor",?,Spain,Espinaler,Yes,No,,,,5/8,120,4.0,No,No,No,No,No,No,No,No,No,,1,378,15.8,
209,Espinaler Sardines in Olive Oil 3/5,8,Olive Oil,Sardines,Sardina pilchardus,Spain,Espinaler,Yes,No,,No,No,3/5,115,4.0,No,No,No,No,No,No,No,No,No,,1,410,17,
210,Espinaler Sardines in Spicy Sunflower Oil 3/5,8,Sunflower Oil,Sardines,Sardina pilchardus,Spain,Espinaler,Yes,No,Chili flavor,No,No,3/5,115,4.0,No,No,No,No,Yes,No,No,No,No,,1,160,7,
211,Espinaler Sauce (Salsa Espinaler),7.5/19,Vinegar,,,Spain,Espinaler,No,No,"Vinegar, red pepper, spices",,,,92ml,,,,,,,,,,,,,,,
212,"Espinaler Sauce, Extra Hotter with Habanero",7.5,Vinegar,,,Spain,Espinaler,No,No,"vinegar, chile habanero, red pepper, cayenne pepper, and spices",,,,92ml,,,,,,,,,,,,,,,
213,"Espinaler Sauce, Hotter with Cayenne",7,Vinegar,,,Spain,Espinaler,No,No,"Vinegar, red pepper, cayenne pepper, spices",,,,92ml,,,,,,,,,,,,,,,
214,Espinaler Scallops in Galician Sauce,11,Sunflower Oil,Scallop,Aequipecten opercularis,Spain,Espinaler,Yes,No,Galician,,,Unstated,110,4.0,No,No,No,No,No,Yes,No,No,No,,1,543,22.6,
215,"Espinaler Spicy Baby Eels in Olive Oil, Premium Line",61,Olive Oil,Eel,?,Spain,Espinaler,Yes,No,Spiced/Spicy,,,,115,4.0,No,No,No,Yes,Yes,No,No,No,No,,1,320,14,
216,Espinaler Ventresca Bonito del Norte,22.5,Olive Oil,"Tuna, Albacore",Thunnus alalunga,Spain,Espinaler,Yes,No,,,,,110,4.0,No,No,No,No,No,No,No,No,No,,3,431,18,
217,Espinaler Ventresca Bonito del Norte (Albacore Belly),38,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Espinaler,Yes,No,,,,,112,4.0,No,No,No,No,No,No,No,No,No,,2,220,9,
218,Espinaler Ventresca Yellowfin Tuna,16,Olive Oil,"Tuna, Yellowfin",Thunnus albacares,Spain,Espinaler,Yes,No,,,,,110,4.0,No,No,No,No,No,No,No,No,No,,1,193,8,
219,"Fangst Blåmusling No. 1, Limfjord Blue Mussels Marinated w/ Dill and Fennel Seeds in Cold Pressed Rapeseed (Canola) Oil",12,Rapeseed Oil,Mussels,Mytilus edulis,Denmark,Fangst,Yes,No,"Cider Vinegar, Dill, Fennel Seeds",,,Unstated,110,3.9,No,No,No,No,No,No,No,No,No,,1,1600,?,
220,"Fangst Blåmusling No. 2, Limfjord Blue Mussels Smoked in Cold Pressed Rapeseed (Canola) Oil",12,Rapeseed Oil,Mussels,Mytilus edulis,Denmark,Fangst,Yes,No,,,,Unstated,110,3.9,Yes,No,No,No,No,No,No,No,No,,1,1500,?,
221,"Fangst Danish Freshwater Trout Smoked, with Juniper and Lemon Thyme",12,Rapeseed Oil,Trout,Oncorhynchus mykiss,Denmark,Fangst,Yes,No,"Juniper, Lemon Thyme",Yes,No,Unstated,110,3.9,Yes,No,No,No,No,No,No,No,No,,1,1800,?,
222,Fangst Færøsk Laks (Faroe Islands Salmon) Flash Grilled in Cold Pressed Rapeseed (Canola) Oil,12,Rapeseed Oil,Salmon,Salmo salar,Denmark,Fangst,Yes,No,,Yes,Yes,Unstated,110,3.9,No,Yes,No,No,No,No,No,No,No,,1,900,?,
223,Fangst Færøsk Laks (Faroe Islands Salmon) w/ Sea Buckthorn & Lemon Verbena,12,Rapeseed Oil,Salmon,Salmo salar,Denmark,Fangst,Yes,No,"Sea Buckthorn, Lemon Verbena",Yes,,,110,3.9,No,Yes,Yes,No,No,No,No,No,No,,1,400,,
224,Fangst Limfjord Hjertemusling (Cockles) in Cold Pressed Rapeseed (Canola) Oil,13.5,Rapeseed,Cockles,Cerastoderma edule,Denmark,Fangst,Yes,No,,,,Unstated,110,3.9,No,No,No,No,No,No,No,No,No,,1,1200,,
225,Fangst Smoked Herring w/ White Pepper & Ramps (Sild No. 1 Norwegian Sea herring),11,Rapeseed Oil,Herring,Clupea harengus,Denmark,Fangst,Yes,No,"Ramps, White Pepper",Yes,No,,110,3.9,Yes,No,No,No,No,No,No,No,No,,1,,,
226,"Fangst Sprat no. 1 (Smoked, with Heather & Chamomile) Baltic Sea",9.5,Rapeseed,Sprat,Sprattus sprattus,Latvia,Fangst,Yes,No,"Chamomile, Heather",No,No,Unstated,100,3.5,Yes,No,No,No,No,No,No,No,No,,1,1400,?,
227,Fangst Sprat no. 2 (Smoked) Baltic Sea,9.5,Rapeseed,Sprat,Sprattus sprattus,Latvia,Fangst,Yes,No,,No,No,Unstated,100,3.5,Yes,No,No,No,No,No,No,No,No,,1,1400,?,
228,Fangst Sprat no. 4 (Allspice & Clove) Baltic Sea,9.5,Rapeseed,Sprat,Sprattus sprattus,Latvia,Fangst,Yes,No,"Allspice, Cloves",No,No,Unstated,100,3.5,No,No,No,No,No,No,No,No,No,,1,1400,?,
229,Ferrigno La Bonne Mer Anchovies in Organic Extra Virgin Olive Oil,7,"Extra Virgin Olive Oil, Organic",Anchovy,Engraulis encrasicolus,France,Ferrigno,Yes,No,,No,No,Unstated,69,2.43,No,No,No,No,No,No,No,No,Yes,,?,1200,?,Per 100g
